Depth (ft),Pressure(Psi),Test flow rate(MCF/D),Compressibility,Density of gas,Tubing ID(in),Casing ID(in),Tubing OD(in),Flow Area,Density of Liquid,Temperature,Surface Tension
6529,108,568,0.1373847928,2.195695509,2.041,,,0.02272321129,0.3466666667,135,0.025
2250,210,470,3.627506812,0.1616955541,,6.276,2.375,0.1840882035,0.3466666667,135,0.025
3077,280,500,0.3000844564,2.606162861,,4.974,2.375,0.1041881254,0.3466666667,135,0.025
3278,315,5740,0.7110371195,1.237386294,7.386,,,0.2975790164,0.3466666667,135,0.025
6739,400,417,0.06031035891,18.52486703,1.995,,,0.02171048359,0.3466666667,135,0.025
3278,422,3890,0.8247472852,1.429152513,7.386,,,0.2975790164,0.3466666667,135,0.025
6770,450,442,0.5007122961,2.510217068,1.995,,,0.02171048359,0.3466666667,135,0.025
3278,459,2780,16.81386935,0.07624862878,7.386,,,0.2975790164,0.3466666667,135,0.025
3278,484,1638,2.438500386,0.5543825528,7.386,,,0.2975790164,0.3466666667,135,0.025
5080,500,400,2.101674751,0.6644946958,,4.974,2.375,0.1041881254,0.3466666667,135,0.025
7200,500,800,1.091956518,1.278944447,,4.052,2.375,0.05879292399,0.3466666667,135,0.025
6700,540,712,0.3999901468,3.770782541,1.995,,,0.02171048359,0.3466666667,135,0.025
7531,552,1607,0.4439063825,3.473239323,2.441,,,0.03250268629,0.3466666667,135,0.025
6776,660,4300,1.511076221,1.219957173,,6.276,2.375,0.1840882035,0.3466666667,135,0.025
7531,704,1313,0.2691654293,7.305339444,2.441,,,0.03250268629,0.3466666667,135,0.025
6404,725,775,0.1477181674,13.70853725,2.441,,,0.03250268629,0.3466666667,135,0.025
7531,760,1247,0.1765670097,12.02239662,2.441,,,0.03250268629,0.3466666667,135,0.025
7531,822,1356,0.1828078198,12.55926053,2.441,,,0.03250268629,0.3466666667,135,0.025
7531,1102,1365,0.9452859939,3.256157417,2.441,,,0.03250268629,0.3466666667,135,0.025
6180,1117,5513,4.496578725,0.6938378581,,6.184,2.875,0.1635161767,0.3466666667,135,0.025
6180,1184,4843,1.790146006,1.847354613,,6.184,2.875,0.1635161767,0.3466666667,135,0.025
6180,1245,4441,1.827215087,1.903122308,,6.184,2.875,0.1635161767,0.3466666667,135,0.025
5294,1246,2965,0.2172092994,16.02236601,1.995,,,0.02171048359,0.3466666667,135,0.025
5294,1480,2473,0.261205332,15.82583737,1.995,,,0.02171048359,0.3466666667,135,0.025
7546,1509,4485,0.1985404006,21.22889392,1.75,,,0.01670551215,0.3466666667,135,0.025
5515,1520,4150,0.6805818019,6.23807047,3.958,,,0.08545456682,0.3466666667,135,0.025
5515,1550,3551,1.495733181,2.894440265,3.958,,,0.08545456682,0.3466666667,135,0.025
7639,1575,4410,0.1978116852,22.23901954,1.75,,,0.01670551215,0.3466666667,135,0.025
5515,1590,3009,1.507511726,2.945936942,3.958,,,0.08545456682,0.3466666667,135,0.025
6850,1600,6423,1.149836764,3.886608653,,6.184,4.5,0.09814307561,0.3466666667,135,0.025
5234,1680,4439,0.1737174553,27.01175759,1.995,,,0.02171048359,0.3466666667,135,0.025
5294,1737,1712,15.17273926,0.3197590499,1.995,,,0.02171048359,0.3466666667,135,0.025
8162,1765,2949,4.213685446,1.169956241,1.995,,,0.02171048359,0.3466666667,135,0.025
5234,1784,3460,3.764445804,1.32367334,1.995,,,0.02171048359,0.3466666667,135,0.025
6850,1818,4998,14.30593551,0.3549479211,,6.184,4.5,0.09814307561,0.3466666667,135,0.025
7346,1835,8672,2.084448901,2.458848871,1.995,,,0.02171048359,0.3466666667,135,0.025
7546,1839,3742,1.200783738,4.277637246,1.75,,,0.01670551215,0.3466666667,135,0.025
5234,1861,2502,0.2605070805,19.95326003,1.995,,,0.02171048359,0.3466666667,135,0.025
5234,1895,1797,1.230045115,4.303038131,1.995,,,0.02171048359,0.3466666667,135,0.025
5294,1902,1138,0.2984246607,17.80175521,1.995,,,0.02171048359,0.3466666667,135,0.025
6031,1913,9897,2.19398938,2.435384121,,6.184,2.875,0.1635161767,0.3466666667,135,0.025
6031,1938,9039,7.827644847,0.691527859,,6.184,2.875,0.1635161767,0.3466666667,135,0.025
5962,1953,9289,2.970092502,1.836619914,,6.184,2.875,0.1635161767,0.3466666667,135,0.025
6031,1958,8185,5.239517719,1.043778616,,6.184,2.875,0.1635161767,0.3466666667,135,0.025
5962,1993,8210,2.942681737,1.891694607,,6.184,2.875,0.1635161767,0.3466666667,135,0.025
5934,2003,"11,767",2.289072197,2.444040958,,6.184,3.5,0.1417819645,0.3466666667,135,0.025
5962,2040,6702,1.773845815,3.212190702,,6.184,2.875,0.1635161767,0.3466666667,135,0.025
6850,2042,4124,1.06173186,5.371899872,,6.184,4.5,0.09814307561,0.3466666667,135,0.025
7639,2104,3598,0.2773644268,21.18761127,1.75,,,0.01670551215,0.3466666667,135,0.025
8162,2149,2385,0.5206898642,11.52774372,1.99,,,0.02160179549,0.3466666667,135,0.025
5725,2169,7504,1.565482612,3.869887363,,6.184,4.5,0.09814307561,0.3466666667,135,0.025
5725,2175,6405,2.290402395,2.652372357,,6.184,4.5,0.09814307561,0.3466666667,135,0.025
5725,2182,5501,1.032482187,5.902815369,,6.184,4.5,0.09814307561,0.3466666667,135,0.025
7475,2205,6871,0.4886020171,12.60492771,1.75,,,0.01670551215,0.3466666667,135,0.025
5934,2223,9860,10.19081009,0.6092811963,,6.184,3.5,0.1417819645,0.3466666667,135,0.025
7546,2224,2910,0.9924002244,6.25943235,1.75,,,0.01670551215,0.3466666667,135,0.025
6995,2226,1959,1.641946542,3.786632583,1.995,,,0.02171048359,0.3466666667,135,0.025
5906,2256,9747,2.107444222,2.989992007,,6.184,3.5,0.1417819645,0.3466666667,135,0.025
5906,2271,8406,10.43365436,0.6079497853,,6.184,3.5,0.1417819645,0.3466666667,135,0.025
5906,2284,7109,11.13668379,0.5728319486,,6.184,3.5,0.1417819645,0.3466666667,135,0.025
6995,2335,1116,1.177235105,5.540011952,1.995,,,0.02171048359,0.3466666667,135,0.025
5934,2338,8057,7.407308998,0.8815989537,,6.18,3.5,0.1415121889,0.3466666667,135,0.025
5934,2352,6361,7.336546434,0.8954321178,,6.184,3.5,0.1417819645,0.3466666667,135,0.025
7475,2406,5820,0.8740118708,7.688919477,1.75,,,0.01670551215,0.3466666667,135,0.025
8162,2415,1804,1.105705407,6.100490046,1.995,,,0.02171048359,0.3466666667,135,0.025
7346,2421,6654,1.437147298,4.705226428,1.995,,,0.02171048359,0.3466666667,135,0.025
7753,2527,4471,1.139484609,6.194179682,1.995,,,0.02171048359,0.3466666667,135,0.025
8162,2556,1550,1.130244906,6.316482716,1.995,,,0.02171048359,0.3466666667,135,0.025
7546,2574,1943,0.8723384131,8.24158167,1.75,,,0.01670551215,0.3466666667,135,0.025
7639,2582,2423,0.3161031533,22.81468257,1.75,,,0.01670551215,0.3466666667,135,0.025
7753,2611,3436,0.4062954218,17.94948383,1.995,,,0.02171048359,0.3466666667,135,0.025
7475,2655,4140,0.4703235428,15.76720912,1.75,,,0.01670551215,0.3466666667,135,0.025
7346,2705,5136,1.390628964,5.433041466,1.995,,,0.02171048359,0.3466666667,135,0.025
7475,2783,2939,0.8285573725,9.381615752,1.75,,,0.01670551215,0.3466666667,135,0.025
7639,2814,1596,1.164519872,6.749385127,1.75,,,0.01670551215,0.3466666667,135,0.025
7810,2823,3863,6.632702497,1.188796126,,4.974,2.375,0.1041881254,0.3466666667,135,0.025
7810,2862,3024,2.834762423,2.819940749,,4.974,2.375,0.1041881254,0.3466666667,135,0.025
7346,2884,3917,1.399526887,5.755738184,1.995,,,0.02171048359,0.3466666667,135,0.025
8840,3025,3517,1.689465408,5.001071871,2.441,,,0.03250268629,0.3466666667,135,0.025
"11,355",3092,3351,0.9410468735,9.17730679,2.441,,,0.03250268629,0.3466666667,135,0.025
8840,3212,2547,2.15456775,4.163920247,2.441,,,0.03250268629,0.3466666667,135,0.025
"11,355",3245,2503,1.668682284,5.431603595,2.441,,,0.03250268629,0.3466666667,135,0.025
"11,416",3280,4095,2.527830727,3.624206008,2.992,,,0.04883226578,0.3466666667,135,0.025
"11,416",3295,3264,2.434498397,3.780358152,2.992,,,0.04883226578,0.3466666667,135,0.025
"11,417",3330,2915,1.619565619,5.742919198,2.441,,,0.03250268629,0.3466666667,135,0.025
"11,355",3338,2261,2.095584733,4.449058616,2.441,,,0.03250268629,0.3466666667,135,0.025
"11,416",3340,2611,3.140900403,2.970156426,2.992,,,0.04883226578,0.3466666667,135,0.025
"11,200",3434,2926,1.092960118,8.775724829,1.995,,,0.02171048359,0.3466666667,135,0.025
"11,390",3455,2769,1.406527678,6.860990059,1.995,,,0.02171048359,0.3466666667,135,0.025
"11,426",3472,2572,1.068636161,9.074796012,1.995,,,0.02171048359,0.3466666667,135,0.025
"11,426",3525,1792,1.373223258,7.169766167,1.995,,,0.02171048359,0.3466666667,135,0.025
"11,417",3540,1814,2.04370137,4.83807779,2.441,,,0.03250268629,0.3466666667,135,0.025
"11,390",3556,2069,0.6122174142,16.22344551,1.995,,,0.02171048359,0.3466666667,135,0.025
"11,200",3607,1525,1.046561663,9.626498369,1.995,,,0.02171048359,0.3466666667,135,0.025
8690,3615,3890,1.005380011,10.04303732,2.441,,,0.03250268629,0.3466666667,135,0.025
8690,3644,3182,0.994397077,10.23541722,2.441,,,0.03250268629,0.3466666667,135,0.025
"11,340",3660,3726,0.9158713634,11.16178432,1.995,,,0.02171048359,0.3466666667,135,0.025
8690,3665,2542,1.366424762,7.491611994,2.441,,,0.03250268629,0.3466666667,135,0.025
"11,340",3773,2494,0.9359933781,11.25903191,1.995,,,0.02171048359,0.3466666667,135,0.025
8963,4575,7792,0.7348681376,17.38876354,1.995,,,0.02171048359,0.3466666667,135,0.025
8963,4786,6221,1.140230011,11.72376887,1.995,,,0.02171048359,0.3466666667,135,0.025
8963,4931,4830,1.008854886,13.65190702,1.995,,,0.02171048359,0.3466666667,135,0.025
8963,5056,3376,1.006770725,14.02695836,1.995,,,0.02171048359,0.3466666667,135,0.025
"11,850",7405,6946,2.169623323,9.532959394,2.441,,,0.03250268629,0.3466666667,135,0.025
"11,850",7950,4896,2.296646437,9.668520178,2.441,,,0.03250268629,0.3466666667,135,0.025
"11,850",8215,3472,1.323744775,17.33366224,2.441,,,0.03250268629,0.3466666667,135,0.025